T (C),Phases vol%-AUSTENITE-1.0(C/s),Phases vol%-FERRITE-1.0(C/s),Phases vol%-BAINITE-1.0(C/s),Phases vol%-PEARLITE-1.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-1.0(C/s),Density (g/(cm)^3)-AUSTENITE-1.0(C/s),Density (g/(cm)^3)-FERRITE-1.0(C/s),Density (g/(cm)^3)-TOTAL-1.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-1.0(C/s),Molar volume (cm^3)-AUSTENITE-1.0(C/s),Molar volume (cm^3)-FERRITE-1.0(C/s),Molar volume (cm^3)-TOTAL-1.0(C/s),Linear expansion (%)-  -1.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-1.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-1.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-1.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-1.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Young's modulus (GPa)-AUSTENITE-1.0(C/s),Young's modulus (GPa)-FERRITE-1.0(C/s),Young's modulus (GPa)-TOTAL-1.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Bulk modulus (GPa)-AUSTENITE-1.0(C/s),Bulk modulus (GPa)-FERRITE-1.0(C/s),Bulk modulus (GPa)-TOTAL-1.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-1.0(C/s),Shear modulus(GPa)-AUSTENITE-1.0(C/s),Shear modulus(GPa)-FERRITE-1.0(C/s),Shear modulus(GPa)-TOTAL-1.0(C/s),Poisson's ratio-BAINITE_PEARLITE-1.0(C/s),Poisson's ratio-AUSTENITE-1.0(C/s),Poisson's ratio-FERRITE-1.0(C/s),Poisson's ratio-TOTAL-1.0(C/s),Yield Stress (MPa)-TOTAL-1.0(C/s),Yield Stress (MPa)-FERRITE-1.0(C/s),Yield Stress (MPa)-PEARLITE-1.0(C/s),Yield Stress (MPa)-BAINITE-1.0(C/s),Yield Stress (MPa)-AUSTENITE-1.0(C/s),Tensile Stress (MPa)-TOTAL-1.0(C/s),Hardness (HRC)-TOTAL-1.0(C/s),Enthalpy (J/g)-TOTAL-1.0(C/s),Enthalpy (J/g)-AUSTENITE-1.0(C/s),Enthalpy (J/g)-FERRITE-1.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-1.0(C/s),Enthalpy (J/g)-MARTENSITE-1.0(C/s),Specific heat (J/(g K))-TOTAL-1.0(C/s),Specific heat (J/(g K))-AUSTENITE-1.0(C/s),Specific heat (J/(g K))-FERRITE-1.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-1.0(C/s),Specific heat (J/(g K))-MARTENSITE-1.0(C/s),Latent heat (J/g)-FERRITE-1.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-1.0(C/s),Latent heat (J/g)-MARTENSITE-1.0(C/s),TIME(s)-Cooling_1.0(C/s)
920,100, , , , ,7.58565, ,7.58565, ,7.29254, ,7.29254,0, ,27.75919, ,27.75919, ,1.05306, ,1.05306, ,0.94961, ,0.94961, ,115.11867, ,115.11867, ,125.08894, ,125.08894, ,42.74364, ,42.74364, ,0.34662, ,0.34662,84.4616, , , ,84.4616,114.909,-98.68728,619.74727,619.74727, ,609.47649, ,0.61128,0.61128, ,0.78613, , , , ,0
915,100, , , , ,7.58836, ,7.58836, ,7.28993, ,7.28993,-0.0119108, ,27.69907, ,27.69907, ,1.05093, ,1.05093, ,0.95154, ,0.95154, ,115.61403, ,115.61403, ,125.38592, ,125.38592, ,42.93698, ,42.93698, ,0.34632, ,0.34632,84.5628, , , ,84.5628,115.495,-98.34975,616.67973,616.68012, ,605.54414, ,0.61351,0.61176, ,0.78637, , ,11.13598,-11.05856,5
910,100, , , , ,7.59107, ,7.59107, ,7.28733, ,7.28733,-0.0238215, ,27.63904, ,27.63904, ,1.04878, ,1.04878, ,0.95349, ,0.95349, ,116.10908, ,116.10908, ,125.68158, ,125.68158, ,43.13028, ,43.13028, ,0.34603, ,0.34603,84.6631, , , ,84.6631,116.08,-98.01474,613.62029,613.62067, ,601.61126, ,0.61189,0.61125, ,0.78662, , ,12.00941,-10.45804,10
905,100, , , , ,7.59379, ,7.59379, ,7.28472, ,7.28472,-0.0357247, ,27.57901, ,27.57901, ,1.04662, ,1.04662, ,0.95546, ,0.95546, ,116.6038, ,116.6038, ,125.97574, ,125.97574, ,43.32354, ,43.32354, ,0.34573, ,0.34573,84.7642, , , ,84.7642,116.667,-97.68125,610.56475,610.56514, ,597.67702, ,0.61111,0.61058, ,0.787, , ,12.88812,-9.84401,15
900,100, , , , ,7.5965, ,7.5965, ,7.28212, ,7.28212,-0.0476233, ,27.51898, ,27.51898, ,1.04445, ,1.04445, ,0.95744, ,0.95744, ,117.09819, ,117.09819, ,126.26841, ,126.26841, ,43.51677, ,43.51677, ,0.34544, ,0.34544,84.8664, , , ,84.8664,117.255,-97.34889,607.51309,607.51348, ,593.74062, ,0.61033,0.60985, ,0.78753, , ,13.77286,-9.21598,20
895,100, , , , ,7.59922, ,7.59922, ,7.27952, ,7.27952,-0.0595182, ,27.45895, ,27.45895, ,1.04227, ,1.04227, ,0.95944, ,0.95944, ,117.59225, ,117.59225, ,126.55961, ,126.55961, ,43.70996, ,43.70996, ,0.34514, ,0.34514,84.9695, , , ,84.9695,117.845,-97.01784,604.46531,604.46569, ,589.80121, ,0.60956,0.6091, ,0.78823, , ,14.66448,-8.57341,25
890,100, , , , ,7.60193, ,7.60193, ,7.27691, ,7.27691,-0.0714102, ,27.39891, ,27.39891, ,1.04008, ,1.04008, ,0.96146, ,0.96146, ,118.08597, ,118.08597, ,126.84934, ,126.84934, ,43.90311, ,43.90311, ,0.34485, ,0.34485,85.0736, , , ,85.0736,118.436,-96.68791,601.42139,601.42178, ,585.85792, ,0.60878,0.60835, ,0.78911, , ,15.56386,-7.91568,30
885,100, , , , ,7.60465, ,7.60465, ,7.27431, ,7.27431,-0.0832994, ,27.33888, ,27.33888, ,1.03789, ,1.03789, ,0.9635, ,0.9635, ,118.57937, ,118.57937, ,127.13762, ,127.13762, ,44.09622, ,44.09622, ,0.34455, ,0.34455,85.1788, , , ,85.1788,119.029,-96.35927,598.38134,598.38172, ,581.90982, ,0.60801,0.60758, ,0.78982, , ,16.4719,-7.24223,35
880,100, , , , ,7.60737, ,7.60737, ,7.27171, ,7.27171,-0.0951852, ,27.27885, ,27.27885, ,1.03568, ,1.03568, ,0.96555, ,0.96555, ,119.07244, ,119.07244, ,127.42446, ,127.42446, ,44.2893, ,44.2893, ,0.34426, ,0.34426,85.2849, , , ,85.2849,119.623,-96.03192,595.34516,595.34554, ,577.95599, ,0.60724,0.60684, ,0.79104, , ,17.38955,-6.55235,40
875,100, , , , ,7.61009, ,7.61009, ,7.26911, ,7.26911,-0.10707, ,27.21881, ,27.21881, ,1.03346, ,1.03346, ,0.96762, ,0.96762, ,119.56518, ,119.56518, ,127.70985, ,127.70985, ,44.48234, ,44.48234, ,0.34396, ,0.34396,85.3921, , , ,85.3921,120.219,-95.70567,592.31284,592.31322, ,573.99542, ,0.60646,0.60607, ,0.79249, , ,18.3178,-5.84537,45
