T (C),Phases vol%-AUSTENITE-1.0(C/s),Phases vol%-FERRITE-1.0(C/s),Phases vol%-MARTENSITE-1.0(C/s),Phases vol%-BAINITE-1.0(C/s),Phases vol%-PEARLITE-1.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-1.0(C/s),Density (g/(cm)^3)-AUSTENITE-1.0(C/s),Density (g/(cm)^3)-FERRITE-1.0(C/s),Density (g/(cm)^3)-MARTENSITE-1.0(C/s),Density (g/(cm)^3)-TOTAL-1.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-1.0(C/s),Molar volume (cm^3)-AUSTENITE-1.0(C/s),Molar volume (cm^3)-FERRITE-1.0(C/s),Molar volume (cm^3)-MARTENSITE-1.0(C/s),Molar volume (cm^3)-TOTAL-1.0(C/s),Linear expansion (%)-  -1.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-1.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-1.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-1.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-1.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-1.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Young's modulus (GPa)-AUSTENITE-1.0(C/s),Young's modulus (GPa)-FERRITE-1.0(C/s),Young's modulus (GPa)-MARTENSITE-1.0(C/s),Young's modulus (GPa)-TOTAL-1.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Bulk modulus (GPa)-AUSTENITE-1.0(C/s),Bulk modulus (GPa)-FERRITE-1.0(C/s),Bulk modulus (GPa)-MARTENSITE-1.0(C/s),Bulk modulus (GPa)-TOTAL-1.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-1.0(C/s),Shear modulus(GPa)-AUSTENITE-1.0(C/s),Shear modulus(GPa)-FERRITE-1.0(C/s),Shear modulus(GPa)-MARTENSITE-1.0(C/s),Shear modulus(GPa)-TOTAL-1.0(C/s),Poisson's ratio-BAINITE_PEARLITE-1.0(C/s),Poisson's ratio-AUSTENITE-1.0(C/s),Poisson's ratio-FERRITE-1.0(C/s),Poisson's ratio-MARTENSITE-1.0(C/s),Poisson's ratio-TOTAL-1.0(C/s),Yield Stress (MPa)-TOTAL-1.0(C/s),Yield Stress (MPa)-FERRITE-1.0(C/s),Yield Stress (MPa)-PEARLITE-1.0(C/s),Yield Stress (MPa)-BAINITE-1.0(C/s),Yield Stress (MPa)-MARTENSITE-1.0(C/s),Yield Stress (MPa)-AUSTENITE-1.0(C/s),Tensile Stress (MPa)-TOTAL-1.0(C/s),Hardness (HRC)-TOTAL-1.0(C/s),Enthalpy (J/g)-TOTAL-1.0(C/s),Enthalpy (J/g)-AUSTENITE-1.0(C/s),Enthalpy (J/g)-FERRITE-1.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-1.0(C/s),Enthalpy (J/g)-MARTENSITE-1.0(C/s),Specific heat (J/(g K))-TOTAL-1.0(C/s),Specific heat (J/(g K))-AUSTENITE-1.0(C/s),Specific heat (J/(g K))-FERRITE-1.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-1.0(C/s),Specific heat (J/(g K))-MARTENSITE-1.0(C/s),Latent heat (J/g)-FERRITE-1.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-1.0(C/s),Latent heat (J/g)-MARTENSITE-1.0(C/s),TIME(s)-Cooling_1.0(C/s)
920,100, , , , , ,7.54265, , ,7.54265, ,7.21661, , ,7.21661,0, ,27.5509, , ,27.5509, ,1.06102, , ,1.06102, ,0.94249, , ,0.94249, ,117.85777, , ,117.85777, ,126.19544, , ,126.19544, ,43.83465, , ,43.83465, ,0.34434, , ,0.34434,172.276, , , , ,172.276,228.681,-50.2046,639.27413,639.27413, ,615.02248, ,0.61702,0.61702, ,0.78232, , , , ,0
915,100, , , , , ,7.54523, , ,7.54523, ,7.21415, , ,7.21415,-0.0113971, ,27.49078, , ,27.49078, ,1.05889, , ,1.05889, ,0.94439, , ,0.94439, ,118.34786, , ,118.34786, ,126.48548, , ,126.48548, ,44.02639, , ,44.02639, ,0.34406, , ,0.34406,172.416, , , , ,172.416,229.688,-49.92582,636.17768,636.17806, ,611.10926, ,0.61929,0.61751, ,0.78257, , ,25.0688,-26.12093,5
910,100, , , , , ,7.54781, , ,7.54781, ,7.21168, , ,7.21168,-0.0227951, ,27.43074, , ,27.43074, ,1.05674, , ,1.05674, ,0.94631, , ,0.94631, ,118.83764, , ,118.83764, ,126.77427, , ,126.77427, ,44.21809, , ,44.21809, ,0.34377, , ,0.34377,172.555, , , , ,172.555,230.695,-49.64904,633.08943,633.08981, ,607.19535, ,0.61765,0.61701, ,0.78284, , ,25.89446,-25.54857,10
905,100, , , , , ,7.55039, , ,7.55039, ,7.20921, , ,7.20921,-0.0341868, ,27.37071, , ,27.37071, ,1.05458, , ,1.05458, ,0.94824, , ,0.94824, ,119.3271, , ,119.3271, ,127.06163, , ,127.06163, ,44.40975, , ,44.40975, ,0.34348, , ,0.34348,172.696, , , , ,172.696,231.704,-49.37387,630.00511,630.00549, ,603.27998, ,0.61686,0.61633, ,0.78324, , ,26.72551,-24.96339,15
900,100, , , , , ,7.55298, , ,7.55298, ,7.20675, , ,7.20675,-0.0455752, ,27.31067, , ,27.31067, ,1.05242, , ,1.05242, ,0.95019, , ,0.95019, ,119.81623, , ,119.81623, ,127.34758, , ,127.34758, ,44.60137, , ,44.60137, ,0.34319, , ,0.34319,172.839, , , , ,172.839,232.713,-49.1002,626.92471,626.92508, ,599.36236, ,0.61608,0.6156, ,0.78378, , ,27.56272,-24.36488,20
895,100, , , , , ,7.55556, , ,7.55556, ,7.20428, , ,7.20428,-0.0569611, ,27.25063, , ,27.25063, ,1.05024, , ,1.05024, ,0.95216, , ,0.95216, ,120.30503, , ,120.30503, ,127.63214, , ,127.63214, ,44.79295, , ,44.79295, ,0.3429, , ,0.3429,172.982, , , , ,172.982,233.724,-48.82801,623.8482,623.84858, ,595.44167, ,0.6153,0.61484, ,0.78449, , ,28.40691,-23.75254,25
890,100, , , , , ,7.55815, , ,7.55815, ,7.20182, , ,7.20182,-0.0683451, ,27.19059, , ,27.19059, ,1.04805, , ,1.04805, ,0.95415, , ,0.95415, ,120.79352, , ,120.79352, ,127.91531, , ,127.91531, ,44.9845, , ,44.9845, ,0.34261, , ,0.34261,173.127, , , , ,173.127,234.737,-48.55739,620.7756,620.77597, ,591.51707, ,0.61452,0.61408, ,0.78536, , ,29.2589,-23.12584,30
885,100, , , , , ,7.56073, , ,7.56073, ,7.19935, , ,7.19935,-0.0797276, ,27.13055, , ,27.13055, ,1.04586, , ,1.04586, ,0.95615, , ,0.95615, ,121.28168, , ,121.28168, ,128.1971, , ,128.1971, ,45.17601, , ,45.17601, ,0.34232, , ,0.34232,173.274, , , , ,173.274,235.75,-48.28824,617.70689,617.70726, ,587.58767, ,0.61374,0.61331, ,0.78607, , ,30.11959,-22.48419,35
880,100, , , , , ,7.56332, , ,7.56332, ,7.19689, , ,7.19689,-0.0911077, ,27.07051, , ,27.07051, ,1.04365, , ,1.04365, ,0.95817, , ,0.95817, ,121.76952, , ,121.76952, ,128.47751, , ,128.47751, ,45.36748, , ,45.36748, ,0.34204, , ,0.34204,173.422, , , , ,173.422,236.764,-48.02053,614.64209,614.64246, ,583.65258, ,0.61296,0.61256, ,0.78728, , ,30.98988,-21.82697,40
875,100, , , , , ,7.56591, , ,7.56591, ,7.19443, , ,7.19443,-0.10249, ,27.01047, , ,27.01047, ,1.04144, , ,1.04144, ,0.96021, , ,0.96021, ,122.25704, , ,122.25704, ,128.75657, , ,128.75657, ,45.55892, , ,45.55892, ,0.34175, , ,0.34175,173.571, , , , ,173.571,237.78,-47.75434,611.58118,611.58154, ,579.71082, ,0.61218,0.61179, ,0.78872, , ,31.87072,-21.15357,45
