T (C),Phases vol%-AUSTENITE-50.0(C/s),Phases vol%-FERRITE-50.0(C/s),Phases vol%-MARTENSITE-50.0(C/s),Phases vol%-BAINITE-50.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-50.0(C/s),Density (g/(cm)^3)-AUSTENITE-50.0(C/s),Density (g/(cm)^3)-FERRITE-50.0(C/s),Density (g/(cm)^3)-MARTENSITE-50.0(C/s),Density (g/(cm)^3)-TOTAL-50.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-50.0(C/s),Molar volume (cm^3)-AUSTENITE-50.0(C/s),Molar volume (cm^3)-FERRITE-50.0(C/s),Molar volume (cm^3)-MARTENSITE-50.0(C/s),Molar volume (cm^3)-TOTAL-50.0(C/s),Linear expansion (%)-  -50.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-50.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-50.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-50.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-50.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-50.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Young's modulus (GPa)-AUSTENITE-50.0(C/s),Young's modulus (GPa)-FERRITE-50.0(C/s),Young's modulus (GPa)-MARTENSITE-50.0(C/s),Young's modulus (GPa)-TOTAL-50.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Bulk modulus (GPa)-AUSTENITE-50.0(C/s),Bulk modulus (GPa)-FERRITE-50.0(C/s),Bulk modulus (GPa)-MARTENSITE-50.0(C/s),Bulk modulus (GPa)-TOTAL-50.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-50.0(C/s),Shear modulus(GPa)-AUSTENITE-50.0(C/s),Shear modulus(GPa)-FERRITE-50.0(C/s),Shear modulus(GPa)-MARTENSITE-50.0(C/s),Shear modulus(GPa)-TOTAL-50.0(C/s),Poisson's ratio-BAINITE_PEARLITE-50.0(C/s),Poisson's ratio-AUSTENITE-50.0(C/s),Poisson's ratio-FERRITE-50.0(C/s),Poisson's ratio-MARTENSITE-50.0(C/s),Poisson's ratio-TOTAL-50.0(C/s),Yield Stress (MPa)-TOTAL-50.0(C/s),Yield Stress (MPa)-FERRITE-50.0(C/s),Yield Stress (MPa)-BAINITE-50.0(C/s),Yield Stress (MPa)-MARTENSITE-50.0(C/s),Yield Stress (MPa)-AUSTENITE-50.0(C/s),Tensile Stress (MPa)-TOTAL-50.0(C/s),Hardness (HRC)-TOTAL-50.0(C/s),Enthalpy (J/g)-TOTAL-50.0(C/s),Enthalpy (J/g)-AUSTENITE-50.0(C/s),Enthalpy (J/g)-FERRITE-50.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-50.0(C/s),Enthalpy (J/g)-MARTENSITE-50.0(C/s),Specific heat (J/(g K))-TOTAL-50.0(C/s),Specific heat (J/(g K))-AUSTENITE-50.0(C/s),Specific heat (J/(g K))-FERRITE-50.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-50.0(C/s),Specific heat (J/(g K))-MARTENSITE-50.0(C/s),Latent heat (J/g)-FERRITE-50.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-50.0(C/s),Latent heat (J/g)-MARTENSITE-50.0(C/s),TIME(s)-Cooling_50.0(C/s)
920,100, , , , ,7.57031, , ,7.57031, ,7.26526, , ,7.26526,0, ,27.68533, , ,27.68533, ,1.05587, , ,1.05587, ,0.94708, , ,0.94708, ,116.0897, , ,116.0897, ,125.4849, , ,125.4849, ,43.12999, , ,43.12999, ,0.34581, , ,0.34581,115.774, , , ,115.774,156.098,-76.80127,626.62801,626.62801, ,609.88654, ,0.61332,0.61332, ,0.78589, , , , ,0
915,100, , , , ,7.57297, , ,7.57297, ,7.26271, , ,7.26271,-0.0117273, ,27.62521, , ,27.62521, ,1.05374, , ,1.05374, ,0.949, , ,0.949, ,116.5832, , ,116.5832, ,125.77937, , ,125.77937, ,43.32276, , ,43.32276, ,0.34552, , ,0.34552,115.889, , , ,115.889,156.845,-76.48608,623.55019,623.55057, ,605.95538, ,0.61556,0.61381, ,0.78613, , ,17.59519,-6.94329,0.1
910,100, , , , ,7.57563, , ,7.57563, ,7.26015, , ,7.26015,-0.023455, ,27.56518, , ,27.56518, ,1.05159, , ,1.05159, ,0.95094, , ,0.95094, ,117.07638, , ,117.07638, ,126.07256, , ,126.07256, ,43.5155, , ,43.5155, ,0.34523, , ,0.34523,116.003, , , ,116.003,157.59,-76.17323,620.4805,620.48088, ,602.02367, ,0.61394,0.6133, ,0.78639, , ,18.45721,-6.35306,0.2
905,100, , , , ,7.5783, , ,7.5783, ,7.25759, , ,7.25759,-0.0351757, ,27.50515, , ,27.50515, ,1.04943, , ,1.04943, ,0.9529, , ,0.9529, ,117.56923, , ,117.56923, ,126.36427, , ,126.36427, ,43.7082, , ,43.7082, ,0.34493, , ,0.34493,116.118, , , ,116.118,158.337,-75.862,617.41473,617.41511, ,598.09059, ,0.61315,0.61262, ,0.78677, , ,19.32452,-5.74938,0.3
900,100, , , , ,7.58097, , ,7.58097, ,7.25504, , ,7.25504,-0.0468922, ,27.44511, , ,27.44511, ,1.04726, , ,1.04726, ,0.95487, , ,0.95487, ,118.06175, , ,118.06175, ,126.65452, , ,126.65452, ,43.90086, , ,43.90086, ,0.34464, , ,0.34464,116.235, , , ,116.235,159.086,-75.55209,614.35286,614.35323, ,594.15533, ,0.61238,0.61189, ,0.78731, , ,20.1979,-5.13174,0.4
895,100, , , , ,7.58364, , ,7.58364, ,7.25249, , ,7.25249,-0.0586055, ,27.38508, , ,27.38508, ,1.04508, , ,1.04508, ,0.95686, , ,0.95686, ,118.55395, , ,118.55395, ,126.94332, , ,126.94332, ,44.09348, , ,44.09348, ,0.34435, , ,0.34435,116.352, , , ,116.352,159.836,-75.24363,611.29486,611.29524, ,590.21705, ,0.6116,0.61114, ,0.78801, , ,21.07819,-4.4996,0.5
890,100, , , , ,7.58631, , ,7.58631, ,7.24994, , ,7.24994,-0.0703161, ,27.32504, , ,27.32504, ,1.0429, , ,1.0429, ,0.95887, , ,0.95887, ,119.04582, , ,119.04582, ,127.23069, , ,127.23069, ,44.28606, , ,44.28606, ,0.34406, , ,0.34406,116.471, , , ,116.471,160.588,-74.93661,608.24075,608.24112, ,586.27487, ,0.61082,0.61038, ,0.78888, , ,21.96625,-3.85239,0.6
885,100, , , , ,7.58898, , ,7.58898, ,7.24738, , ,7.24738,-0.0820245, ,27.26501, , ,27.26501, ,1.0407, , ,1.0407, ,0.96089, , ,0.96089, ,119.53736, , ,119.53736, ,127.51663, , ,127.51663, ,44.47861, , ,44.47861, ,0.34376, , ,0.34376,116.591, , , ,116.591,161.341,-74.63102,605.19051,605.19088, ,582.32787, ,0.61005,0.60962, ,0.78959, , ,22.86301,-3.18949,0.7
880,100, , , , ,7.59165, , ,7.59165, ,7.24483, , ,7.24483,-0.0937298, ,27.20497, , ,27.20497, ,1.03849, , ,1.03849, ,0.96293, , ,0.96293, ,120.02858, , ,120.02858, ,127.80115, , ,127.80115, ,44.67112, , ,44.67112, ,0.34347, , ,0.34347,116.712, , , ,116.712,162.095,-74.32699,602.14415,602.14452, ,578.37514, ,0.60927,0.60888, ,0.79082, , ,23.76938,-2.51024,0.8
875,100, , , , ,7.59432, , ,7.59432, ,7.24228, , ,7.24228,-0.10543, ,27.14494, , ,27.14494, ,1.03628, , ,1.03628, ,0.96499, , ,0.96499, ,120.51946, , ,120.51946, ,128.08427, , ,128.08427, ,44.86359, , ,44.86359, ,0.34318, , ,0.34318,116.834, , , ,116.834,162.851,-74.02422,599.10166,599.10203, ,574.41567, ,0.6085,0.6081, ,0.79228, , ,24.68636,-1.81397,0.9
870,100, , , , ,7.597, , ,7.597, ,7.23973, , ,7.23973,-0.11713, ,27.0849, , ,27.0849, ,1.03405, , ,1.03405, ,0.96707, , ,0.96707, ,121.01002, , ,121.01002, ,128.36598, , ,128.36598, ,45.05602, , ,45.05602, ,0.34288, , ,0.34288,116.957, , , ,116.957,163.608,-73.72285,596.06305,596.06341, ,570.44843, ,0.60772,0.60733, ,0.79391, , ,25.61498,-1.09992,1
865,100, , , , ,7.59968, , ,7.59968, ,7.23718, , ,7.23718,-0.12883, ,27.02486, , ,27.02486, ,1.03182, , ,1.03182, ,0.96917, , ,0.96917, ,121.50026, , ,121.50026, ,128.64629, , ,128.64629, ,45.24842, , ,45.24842, ,0.34259, , ,0.34259,117.082, , , ,117.082,164.366,-73.42287,593.02831,593.02867, ,566.47235, ,0.60695,0.60655, ,0.79595, , ,26.55632,-0.36733,1.1
860,100, , , , ,7.60235, , ,7.60235, ,7.23463, , ,7.23463,-0.14053, ,26.96482, , ,26.96482, ,1.02957, , ,1.02957, ,0.97128, , ,0.97128, ,121.99017, , ,121.99017, ,128.92522, , ,128.92522, ,45.44077, , ,45.44077, ,0.3423, , ,0.3423,117.208, , , ,117.208,165.125,-73.12426,589.99744,589.9978, ,562.48626, ,0.60617,0.60578, ,0.79807, , ,27.51154,0.38465,1.2
855,100, , , , ,7.60503, , ,7.60503, ,7.23208, , ,7.23208,-0.15223, ,26.90479, , ,26.90479, ,1.02731, , ,1.02731, ,0.97341, , ,0.97341, ,122.47975, , ,122.47975, ,129.20278, , ,129.20278, ,45.63309, , ,45.63309, ,0.34201, , ,0.34201,117.335, , , ,117.335,165.886,-72.82715,586.97044,586.9708, ,558.48898, ,0.6054,0.60501, ,0.8004, , ,28.48182,1.1569,1.3
850,100, , , , ,7.60772, , ,7.60772, ,7.22953, , ,7.22953,-0.16392, ,26.84475, , ,26.84475, ,1.02505, , ,1.02505, ,0.97556, , ,0.97556, ,122.96901, , ,122.96901, ,129.47896, , ,129.47896, ,45.82538, , ,45.82538, ,0.34171, , ,0.34171,117.464, , , ,117.464,166.648,-72.53126,583.94731,583.94767, ,554.47924, ,0.60463,0.60423, ,0.80303, , ,29.46843,1.95038,1.4
845,100, , , , ,7.6104, , ,7.6104, ,7.22699, , ,7.22699,-0.17561, ,26.78471, , ,26.78471, ,1.02277, , ,1.02277, ,0.97773, , ,0.97773, ,123.45794, , ,123.45794, ,129.75378, , ,129.75378, ,46.01762, , ,46.01762, ,0.34142, , ,0.34142,117.593, , , ,117.593,167.411,-72.23685,580.92806,580.92841, ,550.45571, ,0.60385,0.60346, ,0.80593, , ,30.4727,2.76609,1.5
840,100, , , , ,7.61308, , ,7.61308, ,7.22444, , ,7.22444,-0.1873, ,26.72467, , ,26.72467, ,1.02049, , ,1.02049, ,0.97992, , ,0.97992, ,123.94655, , ,123.94655, ,130.02725, , ,130.02725, ,46.20983, , ,46.20983, ,0.34113, , ,0.34113,117.724, , , ,117.724,168.175,-71.94377,577.91267,577.91303, ,546.41695, ,0.60308,0.60268, ,0.80913, , ,31.49608,3.60514,1.6
835,100, , , , ,7.61577, , ,7.61577, ,7.22189, , ,7.22189,-0.19899, ,26.66463, , ,26.66463, ,1.01819, , ,1.01819, ,0.98213, , ,0.98213, ,124.43482, , ,124.43482, ,130.29937, , ,130.29937, ,46.402, , ,46.402, ,0.34083, , ,0.34083,117.857, , , ,117.857,168.94,-71.65201,574.90116,574.90151, ,542.36146, ,0.6023,0.60191, ,0.81264, , ,32.54005,4.46868,1.7
830,100, , , , ,7.61845, , ,7.61845, ,7.21934, , ,7.21934,-0.21068, ,26.60459, , ,26.60459, ,1.01588, , ,1.01588, ,0.98436, , ,0.98436, ,124.92278, , ,124.92278, ,130.57014, , ,130.57014, ,46.59413, , ,46.59413, ,0.34054, , ,0.34054,117.991, , , ,117.991,169.706,-71.36157,571.89352,571.89387, ,538.28762, ,0.60153,0.60113, ,0.81649, , ,33.60625,5.35798,1.8
825,100, , , , ,7.62114, , ,7.62114, ,7.2168, , ,7.2168,-0.22236, ,26.54455, , ,26.54455, ,1.01357, , ,1.01357, ,0.98661, , ,0.98661, ,125.4104, , ,125.4104, ,130.83959, , ,130.83959, ,46.78623, , ,46.78623, ,0.34025, , ,0.34025,118.126, , , ,118.126,170.473,-71.07243,568.88975,568.8901, ,534.19369, ,0.60075,0.60036, ,0.82069, , ,34.69641,6.2744,1.9
820,100, , , , ,7.62383, , ,7.62383, ,7.21425, , ,7.21425,-0.23404, ,26.48451, , ,26.48451, ,1.01124, , ,1.01124, ,0.98889, , ,0.98889, ,125.8977, , ,125.8977, ,131.10771, , ,131.10771, ,46.97828, , ,46.97828, ,0.33996, , ,0.33996,118.262, , , ,118.262,171.241,-70.78458,565.88985,565.8902, ,530.07785, ,0.59998,0.59959, ,0.82528, , ,35.81235,7.21939,2
815,100, , , , ,7.62652, , ,7.62652, ,7.2117, , ,7.2117,-0.24572, ,26.42447, , ,26.42447, ,1.0089, , ,1.0089, ,0.99118, , ,0.99118, ,126.38468, , ,126.38468, ,131.37451, , ,131.37451, ,47.1703, , ,47.1703, ,0.33966, , ,0.33966,118.4, , , ,118.4,172.01,-70.49801,562.89382,562.89417, ,525.93808, ,0.59921,0.59881, ,0.83028, , ,36.95609,8.19452,2.1
810,100, , , , ,7.62922, , ,7.62922, ,7.20916, , ,7.20916,-0.2574, ,26.36442, , ,26.36442, ,1.00655, , ,1.00655, ,0.99349, , ,0.99349, ,126.87132, , ,126.87132, ,131.64, , ,131.64, ,47.36228, , ,47.36228, ,0.33937, , ,0.33937,118.54, , , ,118.54,172.779,-70.21285,559.90167,559.90201, ,521.77226, ,0.59843,0.59804, ,0.83573, , ,38.12975,9.20152,2.2
